"顺序","阶段","参考或实际日期","主项","重量kg含杆","组数","每组次数","RPE上限","组间休息","之后休息天数","温宁式准备","专项递增热身","练后辅助","主项实际重量","实际次数","实际RPE","热身辅助实际记录","笔记"
"1","开局恢复","2026-06-01","卧推 · 恢复1","80","2","5","6","2–3分钟","0","省略12×25，仅轻活动","20kg×8 / 40kg×5 / 55kg×3 / 67.5kg×1","恢复段省略","","","","",""
"2","开局恢复","2026-06-02","深蹲 · 恢复","70","2","5","6","2–3分钟","1","省略12×25，仅轻活动","20kg×8 / 35kg×5 / 47.5kg×3 / 57.5kg×1","恢复段省略","","","","",""
"3","开局恢复","2026-06-04","卧推 · 恢复2","90","2","3","6","2–3分钟","0","省略12×25，仅轻活动","20kg×8 / 45kg×5 / 62.5kg×3 / 75kg×1","恢复段省略","","","","",""
"4","开局恢复","2026-06-05","硬拉 · 恢复","97.5","2","3","6","2–3分钟","1","省略12×25，仅轻活动","37.5kg×5 / 47.5kg×5 / 67.5kg×3 / 82.5kg×1","恢复段省略","","","","",""
"5","常规第1轮","2026-06-07","卧推 A · 9次日","100","4","9","8","4–6分钟","0","屈膝侧平板动态支撑 2×25；每轮单侧25次，左右各一轮；自重；必要时前臂支撑在凳上；第一轮左侧25次，第二轮右侧25次；每侧各算1组，总共2组。髋部小幅抬落，肩与躯干不塌。 / 短幅仰卧卷腹 2×25；每轮25次；自重，手沿大腿滑动；肩胛略离地即可，避免拉颈；25次若已吃力就缩短力臂或停止，不负重。 / 仰卧哑铃夹胸推 2×25；每轮25次；试探2–4kg/手，必要时更轻；平凳或地板上，两哑铃轻靠拢推起；不做大幅度飞鸟拉伸，不持续用力挤压至酸胀。 / 胸托后束飞鸟 2×25；每轮25次；试探1–3kg/手；用上斜凳支撑胸部，避免长时间俯身累腰；抬到可控位置，不耸肩甩动。 / 仰卧哑铃臂屈伸 2×25；每轮25次；试探1–3kg/手或更轻弹力带；肘部舒适、慢放自然推起；如肘不舒服，换极轻弹力带下压，不忍痛凑25次。 / 轻弹力带面拉 2×25；每轮25次；最轻弹力带；缆绳可试5kg；拉向眉眼，避免腰后仰；与硬拉日练后的面拉分属不同训练日。","20kg×8 / 50kg×5 / 70kg×3 / 85kg×1","三头直杆下压 2×10–15；RIR 3；90–120秒；本日已有36次卧推，不另加重胸推；躯干固定，肘舒适。","","","","",""
"6","常规第1轮","2026-06-08","深蹲","100","5","5","8","3–5分钟","1","坐姿自重提踵 2×25；每轮25次；自重，不压杠片；脚掌稳定，上下移动踝关节，热身不追小腿灼烧。 / 轻弹力带终末伸膝 2×25；每轮单腿25次，左右各一轮；最轻弹力带；第一轮左腿25次，第二轮右腿25次；只从微屈伸到自然直立，不顶死膝盖。 / 双腿臀桥 2×25；每轮25次；自重；自然抬髋，不长时间夹臀停顿，不用腰部过伸顶高。 / 扶架徒手蹲 2×25；每轮25次；双手扶架卸力；用熟悉的活动幅度，借扶手卸力到25次很轻松；这是低阻力准备，不做蹲到力竭。 / 徒手髋铰链 2×25；每轮25次；自重，可用木杆找背部位置；髋向后移，膝微屈，躯干稳定；不持重物，不与练后直腿硬拉重复加量。 / 仰卧交替脚跟点地 2×25；左右合计25次；自重，短力臂；左右合计25次，下一轮换另一侧先开始；腰背保持舒适，不屏气。","20kg×8 / 50kg×5 / 70kg×3 / 85kg×1","直腿硬拉 2×8；RIR 4 / RPE约6；2–3分钟；先用空杆校准，可试40–60kg；重量是试探范围。膝微屈固定，不锁死，下放到腰背仍能稳定的位置，不追求触地。 / 腿屈伸 2×10–15；RIR 3；90–120秒；可渐进增加器械重量；自然伸膝，不甩动或猛烈锁膝。 / 器械内收 1×12–20；RIR 3–4；60–90秒；控制回程，从舒适幅度开始；内收与外展各1组是起步安排。 / 器械外展 1×12–20；RIR 3–4；60–90秒；骨盆稳定，不用全身摆动拉出更大重量。","","","","",""
"7","常规第1轮","2026-06-10","卧推 B · 7次日","107.5","5","7","8","4–6分钟","0","屈膝侧平板动态支撑 2×25；每轮单侧25次，左右各一轮；自重；必要时前臂支撑在凳上；第一轮左侧25次，第二轮右侧25次；每侧各算1组，总共2组。髋部小幅抬落，肩与躯干不塌。 / 短幅仰卧卷腹 2×25；每轮25次；自重，手沿大腿滑动；肩胛略离地即可，避免拉颈；25次若已吃力就缩短力臂或停止，不负重。 / 仰卧哑铃夹胸推 2×25；每轮25次；试探2–4kg/手，必要时更轻；平凳或地板上，两哑铃轻靠拢推起；不做大幅度飞鸟拉伸，不持续用力挤压至酸胀。 / 胸托后束飞鸟 2×25；每轮25次；试探1–3kg/手；用上斜凳支撑胸部，避免长时间俯身累腰；抬到可控位置，不耸肩甩动。 / 仰卧哑铃臂屈伸 2×25；每轮25次；试探1–3kg/手或更轻弹力带；肘部舒适、慢放自然推起；如肘不舒服，换极轻弹力带下压，不忍痛凑25次。 / 轻弹力带面拉 2×25；每轮25次；最轻弹力带；缆绳可试5kg；拉向眉眼，避免腰后仰；与硬拉日练后的面拉分属不同训练日。","20kg×8 / 52.5kg×5 / 75kg×3 / 90kg×1","站姿杠铃实力推 2×5–8；RIR 3；2–3分钟；不借腿，不后仰顶腰。先空杆，逐级加到做6次仍能再做3次的重量；可用哑铃推肩替换，不叠加。 / 胸托划船 2×8–12；RIR 3；2分钟；胸部支撑在凳上，减少对次日硬拉的腰背负担；不采用重杠铃俯身划船。","","","","",""
"8","常规第1轮","2026-06-11","硬拉","140","5","5","7.5","4–6分钟","1","徒手髋铰链 2×25；每轮25次；自重；用髋向后移动找轨迹，膝微屈，避免反复弯腰卷背。 / 双腿臀桥 2×25；每轮25次；自重；轻松收缩，不额外负重或延长顶端停顿。 / 极轻坐姿腿弯举 2×25；每轮25次；器械最轻可控档；25次仍需非常轻松；若最轻档也吃力，换无阻力俯卧屈膝。 / 弹力带直臂下拉 2×25；每轮25次；最轻弹力带；感受腋下轻收紧，不使握力或背阔肌明显疲劳；不加重做成辅助组。 / 坐姿胸椎小幅转动 2×25；左右合计25次；自重，骨盆固定；左右合计25次，下轮换起始侧；自然幅度，不甩动或强扭腰。 / 仰卧交替脚跟点地 2×25；左右合计25次；自重，短力臂；左右合计25次，下轮换起始侧；一边动作一边呼吸，不以腹部力竭为目标。","55kg×5 / 70kg×5 / 97.5kg×3 / 117.5kg×1","引体向上 3×5–8；RIR 2–3；2–3分钟；硬拉之后做；自重不能保留2–3次就用辅助机或弹力带。三组稳定8次两次后再考虑加2.5kg。 / 缆绳面拉 2×15–20；RIR 3–4；60–90秒；练后辅助，可小幅渐进加重，但不追大重量、腰后仰或耸肩；与当天热身直臂下拉区分。 / 哑铃或绳索弯举 1×10–15；RIR 3；60–90秒；可选；握力和肘已疲劳时省略。","","","","",""
"9","常规第1轮","2026-06-13","卧推 C · 5次日","115","6","5","8","4–6分钟","0","屈膝侧平板动态支撑 2×25；每轮单侧25次，左右各一轮；自重；必要时前臂支撑在凳上；第一轮左侧25次，第二轮右侧25次；每侧各算1组，总共2组。髋部小幅抬落，肩与躯干不塌。 / 短幅仰卧卷腹 2×25；每轮25次；自重，手沿大腿滑动；肩胛略离地即可，避免拉颈；25次若已吃力就缩短力臂或停止，不负重。 / 仰卧哑铃夹胸推 2×25；每轮25次；试探2–4kg/手，必要时更轻；平凳或地板上，两哑铃轻靠拢推起；不做大幅度飞鸟拉伸，不持续用力挤压至酸胀。 / 胸托后束飞鸟 2×25；每轮25次；试探1–3kg/手；用上斜凳支撑胸部，避免长时间俯身累腰；抬到可控位置，不耸肩甩动。 / 仰卧哑铃臂屈伸 2×25；每轮25次；试探1–3kg/手或更轻弹力带；肘部舒适、慢放自然推起；如肘不舒服，换极轻弹力带下压，不忍痛凑25次。 / 轻弹力带面拉 2×25；每轮25次；最轻弹力带；缆绳可试5kg；拉向眉眼，避免腰后仰；与硬拉日练后的面拉分属不同训练日。","20kg×8 / 57.5kg×5 / 80kg×3 / 97.5kg×1","平板哑铃卧推 2×8–10；RIR 3；2–3分钟；工作组，按实际余力选重；主项超RPE8或肩肘疲劳时取消，不能用辅助补偿主项失败。","","","","",""
"10","常规第1轮","2026-06-14","深蹲","100","5","5","8","3–5分钟","1","坐姿自重提踵 2×25；每轮25次；自重，不压杠片；脚掌稳定，上下移动踝关节，热身不追小腿灼烧。 / 轻弹力带终末伸膝 2×25；每轮单腿25次，左右各一轮；最轻弹力带；第一轮左腿25次，第二轮右腿25次；只从微屈伸到自然直立，不顶死膝盖。 / 双腿臀桥 2×25；每轮25次；自重；自然抬髋，不长时间夹臀停顿，不用腰部过伸顶高。 / 扶架徒手蹲 2×25；每轮25次；双手扶架卸力；用熟悉的活动幅度，借扶手卸力到25次很轻松；这是低阻力准备，不做蹲到力竭。 / 徒手髋铰链 2×25；每轮25次；自重，可用木杆找背部位置；髋向后移，膝微屈，躯干稳定；不持重物，不与练后直腿硬拉重复加量。 / 仰卧交替脚跟点地 2×25；左右合计25次；自重，短力臂；左右合计25次，下一轮换另一侧先开始；腰背保持舒适，不屏气。","20kg×8 / 50kg×5 / 70kg×3 / 85kg×1","直腿硬拉 2×8；RIR 4 / RPE约6；2–3分钟；先用空杆校准，可试40–60kg；重量是试探范围。膝微屈固定，不锁死，下放到腰背仍能稳定的位置，不追求触地。 / 腿屈伸 2×10–15；RIR 3；90–120秒；可渐进增加器械重量；自然伸膝，不甩动或猛烈锁膝。 / 器械内收 1×12–20；RIR 3–4；60–90秒；控制回程，从舒适幅度开始；内收与外展各1组是起步安排。 / 器械外展 1×12–20；RIR 3–4；60–90秒；骨盆稳定，不用全身摆动拉出更大重量。","","","","",""
